id,price,beds,baths,garage,stories,house_type,lot_sqft,sqft,year_built,address,postal_code,state,city,tags,sold_price,sold_date,type,lat,lon,county,baseball,basement,basketball,basketball_court,beach,beautiful_backyard,big_bathroom,big_lot,big_yard,carport,cathedral_ceiling,central_air,central_heat,city_view,clubhouse,coffer_ceiling,community_boat_facilities,community_clubhouse,community_elevator,community_golf,community_gym,community_horse_facilities,community_outdoor_space,community_park,community_security_features,community_swimming_pool,community_tennis_court,conversation_pit,corner_lot,courtyard_entry,courtyard_style,cul_de_sac,den_or_office,detached_guest_house,dining_room,disability_features,dishwasher,dual_master_bedroom,efficient,elevator,energy_efficient,ensuite,equestrian,exposed_brick,family_room,farm,fenced_yard,fireplace,first_floor_master_bedroom,fixer_upper,floor_plan,forced_air,front_porch,fruit_trees,furniture,game_room,garage_1_or_more,garage_2_or_more,garage_3_or_more,gated_community,golf_course,golf_course_lot_or_frontage,golf_course_view,gourmet_kitchen,granite_kitchen,greenbelt,greenhouse,groundscare,guest_house,guest_parking,handicap_access,hardwood_floors,hidden_room,high_ceiling,hill_or_mountain_view,hoa,hollywood_sign_view,horse_facilities,horse_property,horse_stables,in_law_unit,indoor_basketball_court,investment_opportunity,jack_and_jill_bathroom,kitchen_island,kosher_diner,lake,lake_view,large_kitchen,large_porch,laundry_room,lease_option,library,low_hoa,maintenance,marina,master_bathroom,master_bedroom,master_suite,media_room,medicalcare,modern_kitchen,mountain_view,new_construction,new_roof,no_hoa,ocean_view,open_floor_plan,open_house,open_kitchen,outbuilding,outdoor_kitchen,park,pets_allowed,playground,pond,private_backyard,private_bathroom,private_courtyard,private_parking,ranch,recording_studio,recreation_facilities,rental_property,river_view,runway,rv_or_boat_parking,rv_parking,security,senior_community,shopping,single_story,smart_homes,soccer,solar_panels,solar_system,spa_or_hot_tub,swimming_pool,tennis,tennis_court,theater_room,trails,two_kitchen,two_master_suites,two_or_more_stories,updated_kitchen,vaulted_ceiling,view,views,volleyball,washer_dryer,water_view,waterfront,white_kitchen,wine_cellar,wooded_land,wrap_around_porch
1785575643,15995000,5.0,8.0,3.0,2.0,single_family,35937.0,10000.0,2022.0,929 Stone Canyon Rd,90077,CA,Los Angeles,"['central_air', 'central_heat', 'den_or_office', 'dining_room', 'family_room', 'fireplace', 'game_room', 'hardwood_floors', 'laundry_room', 'new_construction', 'spa_or_hot_tub', 'view', 'swimming_pool', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'garage_3_or_more', 'basement', 'gourmet_kitchen', 'high_ceiling', 'master_suite', 'wine_cellar', 'library', 'ensuite', 'views']",5195000.0,2014-05-20,mls,34.090702,-118.447355,Los Angeles,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0
2970768624,1000000,3.0,2.0,,1.0,single_family,22442.0,2046.0,1952.0,17622 Raymer St,91325,CA,Northridge,"['central_heat', 'swimming_pool', 'single_story']",1070000.0,2006-08-02,mls,34.225994,-118.518348,Los Angeles,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2716528992,995000,2.0,1.0,1.0,1.0,single_family,2496.0,763.0,1952.0,4332 Alla Rd,90066,CA,Los Angeles,"['community_outdoor_space', 'dining_room', 'hardwood_floors', 'laundry_room', 'single_story', 'garage_1_or_more', 'investment_opportunity', 'marina', 'groundscare', 'shopping']",200000.0,1999-09-30,mls,33.989377,-118.433888,Los Angeles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2456368905,2995000,3.0,3.0,,1.0,single_family,6551.0,,1926.0,812 N Harper Ave,90046,CA,Los Angeles,"['central_heat', 'community_security_features', 'fireplace', 'forced_air', 'hardwood_floors', 'laundry_room', 'spa_or_hot_tub', 'swimming_pool', 'single_story', 'master_suite', 'media_room', 'ensuite', 'shopping']",1160000.0,2012-11-09,mls,34.085855,-118.368763,Los Angeles,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1731379590,4999000,4.0,5.0,1.0,1.0,single_family,25404.0,4309.0,1937.0,2130 Mandeville Canyon Rd,90049,CA,Los Angeles,"['central_air', 'central_heat', 'den_or_office', 'family_room', 'fireplace', 'hill_or_mountain_view', 'laundry_room', 'spa_or_hot_tub', 'view', 'swimming_pool', 'single_story', 'garage_1_or_more', 'private_backyard', 'high_ceiling', 'vaulted_ceiling']",405000.0,1984-07-11,mls,34.07509,-118.498238,Los Angeles,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
2051974122,5795000,6.0,7.0,2.0,2.0,single_family,16470.0,6283.0,2023.0,17623 Weddington St,91316,CA,Encino,"['carport', 'central_heat', 'den_or_office', 'family_room', 'fireplace', 'game_room', 'laundry_room', 'new_construction', 'spa_or_hot_tub', 'swimming_pool', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'modern_kitchen', 'kitchen_island', 'outdoor_kitchen', 'vaulted_ceiling', 'guest_house', 'master_suite', 'media_room', 'smart_homes', 'shopping']",1935000.0,2021-05-11,mls,34.167015,-118.51738,Los Angeles,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1171009931,5195000,5.0,6.0,3.0,1.0,single_family,36839.0,6013.0,1972.0,18025 Green Meadow Dr,91316,CA,Encino,"['central_air', 'central_heat', 'city_view', 'community_outdoor_space', 'community_security_features', 'den_or_office', 'family_room', 'fireplace', 'hardwood_floors', 'hill_or_mountain_view', 'laundry_room', 'view', 'swimming_pool', 'single_story', 'garage_1_or_more', 'garage_2_or_more', 'garage_3_or_more', 'modern_kitchen', 'outdoor_kitchen', 'high_ceiling', 'solar_system', 'ensuite', 'views']",2250000.0,2010-09-10,mls,34.144512,-118.526121,Los Angeles,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
2589638916,599900,3.0,2.0,,1.0,single_family,7211.0,1280.0,1952.0,14210 Terra Bella St,91331,CA,Arleta,"['laundry_room', 'single_story', 'big_yard']",395000.0,2004-12-30,mls,34.240416,-118.442301,Los Angeles,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1627962228,1249900,4.0,3.0,2.0,2.0,single_family,6756.0,2390.0,1946.0,14358 Emelita St,91401,CA,Sherman Oaks,"['carport', 'central_air', 'central_heat', 'community_outdoor_space', 'corner_lot', 'dining_room', 'dishwasher', 'family_room', 'fireplace', 'hardwood_floors', 'laundry_room', 'recreation_facilities', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'furniture', 'ensuite', 'shopping']",,,mls,34.176385,-118.446344,Los Angeles,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2417914641,1199900,4.0,2.0,2.0,1.0,single_family,11430.0,1679.0,1960.0,22033 Bryant St,91304,CA,West Hills,"['central_air', 'central_heat', 'city_view', 'community_outdoor_space', 'corner_lot', 'dishwasher', 'energy_efficient', 'fireplace', 'laundry_room', 'recreation_facilities', 'view', 'swimming_pool', 'single_story', 'garage_1_or_more', 'garage_2_or_more', 'modern_kitchen', 'open_kitchen', 'master_suite', 'ensuite']",440000.0,2013-06-13,mls,34.227082,-118.607114,Los Angeles,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
